0	0
1	6
2	7
3	5
4	9
5	10
6	13
7	16
8	28
9	10
10	22
11	15
12	34
13	27
14	23
15	35
16	34
17	39
18	52
19	43
20	51
21	60
22	49
23	65
24	71
25	83
26	79
27	79
28	73
29	98
30	99
31	108
32	107
33	123
34	108
35	133
36	182
37	180
38	201
39	217
40	234
41	235
42	244
43	252
44	307
45	327
46	374
47	336
48	385
49	429
50	409
51	489
52	487
53	489
54	501
55	594
56	619
57	639
58	718
59	709
60	738
61	800
62	817
63	833
64	1010
65	982
66	1040
67	1078
68	1138
69	1198
70	1280
71	1326
72	1466
73	1413
74	1669
75	1677
76	1728
77	1898
78	1911
79	2051
80	2258
81	2331
82	2304
83	2372
84	2500
85	2525
86	2667
87	2759
88	2889
89	3022
90	2987
91	3248
92	3255
93	3330
94	3478
95	3567
96	3888
97	3754
98	3923
99	3874
100	4120
101	4195
102	4267
103	4541
104	4477
105	4505
106	4656
107	4698
108	4904
109	5022
110	4997
111	5169
112	5627
113	5289
114	5406
115	5572
116	5620
117	5569
118	5690
119	5765
120	5885
121	5918
122	5677
123	5783
124	6054
125	5963
126	5962
127	6000
128	6862
129	5989
130	5897
131	6078
132	5891
133	6033
134	5907
135	5914
136	5856
137	5794
138	5982
139	5749
140	5665
141	5617
142	5577
143	5780
144	5696
145	5528
146	5552
147	5505
148	5389
149	5214
150	5392
151	4934
152	5044
153	4894
154	4914
155	4698
156	4522
157	4620
158	4304
159	4756
160	4084
161	3938
162	3902
163	3697
164	3792
165	3499
166	3413
167	3199
168	3233
169	3199
170	2938
171	2929
172	2759
173	2754
174	2543
175	2451
176	2331
177	2277
178	2212
179	2107
180	1899
181	1885
182	1744
183	1746
184	1630
185	1622
186	1522
187	1410
188	1364
189	1208
190	1241
191	1301
192	1114
193	1039
194	968
195	925
196	860
197	898
198	827
199	753
200	765
201	640
202	614
203	588
204	542
205	520
206	457
207	467
208	459
209	396
210	406
211	358
212	336
213	329
214	325
215	282
216	243
217	252
218	209
219	193
220	190
221	166
222	145
223	162
224	132
225	111
226	99
227	91
228	94
229	78
230	73
231	65
232	73
233	52
234	59
235	41
236	37
237	50
238	29
239	24
240	18
241	15
242	21
243	9
244	16
245	10
246	9
247	14
248	9
249	12
250	7
251	5
252	5
253	2
254	4
255	0
