0	0
1	13
2	19
3	14
4	20
5	18
6	13
7	11
8	17
9	25
10	17
11	32
12	27
13	26
14	31
15	36
16	40
17	46
18	48
19	49
20	49
21	51
22	64
23	79
24	75
25	72
26	79
27	79
28	96
29	86
30	101
31	123
32	119
33	116
34	111
35	142
36	147
37	181
38	180
39	178
40	163
41	188
42	213
43	209
44	215
45	241
46	274
47	255
48	292
49	255
50	306
51	277
52	300
53	297
54	386
55	352
56	392
57	399
58	451
59	426
60	459
61	457
62	473
63	518
64	621
65	593
66	624
67	627
68	635
69	653
70	670
71	745
72	745
73	760
74	768
75	866
76	867
77	933
78	944
79	1058
80	1080
81	1084
82	1073
83	1125
84	1176
85	1212
86	1224
87	1307
88	1382
89	1417
90	1474
91	1531
92	1559
93	1613
94	1788
95	1823
96	1928
97	2097
98	1938
99	2104
100	2217
101	2230
102	2285
103	2355
104	2504
105	2620
106	2629
107	2731
108	2809
109	2984
110	3108
111	3115
112	3376
113	3430
114	3533
115	3638
116	3762
117	3874
118	3938
119	4104
120	4170
121	4382
122	4337
123	4571
124	4737
125	4799
126	5202
127	5177
128	5767
129	5274
130	5450
131	5544
132	5736
133	5569
134	5780
135	5791
136	5940
137	6001
138	6108
139	6065
140	6196
141	6166
142	6287
143	6324
144	6230
145	6213
146	6144
147	6210
148	6173
149	6121
150	6099
151	6153
152	6110
153	6040
154	5902
155	5886
156	5796
157	5620
158	5606
159	6154
160	5447
161	5253
162	5229
163	5152
164	4875
165	4806
166	4637
167	4500
168	4307
169	4217
170	4011
171	3884
172	3670
173	3530
174	3374
175	3149
176	3128
177	3000
178	2839
179	2616
180	2450
181	2375
182	2218
183	2155
184	1962
185	1895
186	1733
187	1625
188	1487
189	1374
190	1298
191	1381
192	1146
193	1017
194	977
195	857
196	825
197	695
198	687
199	625
200	562
201	502
202	427
203	429
204	375
205	342
206	285
207	286
208	229
209	234
210	220
211	194
212	197
213	154
214	126
215	111
216	103
217	89
218	63
219	66
220	60
221	56
222	43
223	45
224	29
225	26
226	29
227	20
228	22
229	15
230	8
231	11
232	10
233	7
234	12
235	6
236	2
237	8
238	2
239	3
240	4
241	4
242	3
243	2
244	0
245	2
246	1
247	0
248	2
249	2
250	0
251	1
252	1
253	0
254	0
255	0
